id	parentId	type	text	options	target	signal
A2_R_CONTRIBUTION	A2_D3_CONTRIBUTION	reflection	"You leaned toward contribution today. Not every act of value gets noticed immediately, but it still strengthens the system around you."		BRIDGE_2_3_A	axis2:contribution
A2_R_MIXED	A2_D2_ENTITLEMENT	reflection	You moved between giving and needing today. That is human. The useful reflection is whether your next move adds value or simply waits to receive it.		BRIDGE_2_3_B	axis2:mixed
A2_R_ENTITLEMENT	A2_D3_ENTITLEMENT	reflection	"A quiet ledger showed up today: what you gave versus what you got back. That is not a failure, but it is a signal to notice before it becomes your default lens."		BRIDGE_2_3_C	axis2:entitlement
BRIDGE_2_3_A	A2_R_CONTRIBUTION	bridge	You have looked at agency and contribution. One final lens: how wide was your circle of concern today?		A3_OPEN	
BRIDGE_2_3_B	A2_R_MIXED	bridge	You have looked at what you gave and what you needed. Now let us widen the lens to who your day affected.		A3_OPEN	
BRIDGE_2_3_C	A2_R_ENTITLEMENT	bridge	You noticed what you wanted from the day. Now let us ask how much of your awareness extended beyond yourself.		A3_OPEN	
A3_OPEN	null	question	"When you think about today's hardest moment, who came to mind first?"	Just me|My immediate team|One person who had it harder|The customer or end user		
A3_D1	A3_OPEN	decision	Route based on radius of concern.	answer=Just me:A3_Q_SELF;answer=My immediate team|One person who had it harder|The customer or end user:A3_Q_OTHER		
A3_Q_SELF	A3_D1	question	"When you were focused on yourself today, what were you mainly trying to protect?"	My energy|My time|My reputation|My peace of mind		axis3:self
A3_Q_OTHER	A3_D1	question	"When you thought about others today, what did they need from you most?"	Clarity|Support|Speed|Empathy		axis3:altrocentric
A3_D2_SELF	A3_Q_SELF	decision	Check whether self-focus stayed narrow or opened toward purpose/support.	answer=My energy|My time:A3_Q_SELF_CHECK;answer=My reputation|My peace of mind:A3_Q_BRIDGE_CHECK		axis3:self
A3_D2_OTHER	A3_Q_OTHER	decision	Check whether other-focus was practical or deeper perspective-taking.	answer=Clarity|Support|Empathy:A3_Q_OTHER_CHECK;answer=Speed:A3_Q_BRIDGE_CHECK		axis3:altrocentric
A3_Q_SELF_CHECK	A3_D2_SELF	question	Did you notice how your actions affected someone else today?	"Yes, and it changed what I did|Yes, but I did not act on it|Not really, I was trying to get through the day|No, it did not cross my mind"		axis3:self
A3_Q_OTHER_CHECK	A3_D2_OTHER	question	How connected did you feel to the people your work touched today?	Very connected|Somewhat connected|A little distant|Not connected		axis3:altrocentric
A3_Q_BRIDGE_CHECK	A3_D2_SELF	question	"Looking back, how much of your energy went outward versus inward?"	Mostly outward|Balanced|Mostly inward|Hard to say		axis3:mixed
A3_D3_SELF	A3_Q_SELF_CHECK	decision	Final route for self-focused path.	"answer=Yes, and it changed what I did|Yes, but I did not act on it:A3_R_MIXED;answer=Not really, I was trying to get through the day|No, it did not cross my mind:A3_R_SELF"		axis3:self
A3_D3_OTHER	A3_Q_OTHER_CHECK	decision	Final route for other-focused path.	answer=Very connected|Somewhat connected:A3_R_OTHER;answer=A little distant|Not connected:A3_R_MIXED		axis3:altrocentric
A3_D3_BRIDGE	A3_Q_BRIDGE_CHECK	decision	Final route for mixed radius path.	answer=Mostly outward|Balanced:A3_R_MIXED;answer=Mostly inward|Hard to say:A3_R_SELF		axis3:mixed
A3_R_SELF	A3_D3_SELF	reflection	"Today your attention stayed mostly inside your own experience. That is understandable on heavy days. Tomorrow, one small outward question could change the shape of the day."		SUMMARY	axis3:self
A3_R_MIXED	A3_D3_BRIDGE	reflection	"You moved between your own needs and the needs around you. That balance matters: you cannot pour from an empty cup, but you also noticed the cups around you."		SUMMARY	axis3:mixed
A3_R_OTHER	A3_D3_OTHER	reflection	"You looked beyond yourself today: toward teammates, people who struggled, or the people served by the work. That wider lens often makes difficult work more meaningful."		SUMMARY	axis3:altrocentric
SUMMARY	null	summary	"Today you leaned {axis1.dominant} on agency, {axis2.dominant} on contribution, and {axis3.dominant} in your radius of concern. This is not a score. It is a mirror: one clear way to notice how you showed up and one small place to grow tomorrow."		END	summary:closing
END	SUMMARY	end	"See you tomorrow. You showed up today, and that counts."			
